latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.752193,2.284264,96.0,7200,Europe/Berlin,GMT+2

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),cloud_cover (%)
2006-12-01T00:00,7.6,84,12.3,98
2006-12-01T01:00,7.2,86,12.8,100
2006-12-01T02:00,6.4,90,13.6,100
2006-12-01T03:00,6.0,92,14.5,99
2006-12-01T04:00,5.9,92,15.1,100
2006-12-01T05:00,5.6,92,14.8,100
2006-12-01T06:00,5.4,92,15.5,97
2006-12-01T07:00,5.3,91,16.9,99
2006-12-01T08:00,5.1,91,17.0,98
2006-12-01T09:00,5.3,92,16.5,99
2006-12-01T10:00,5.3,91,16.7,100
2006-12-01T11:00,6.0,89,18.1,98
2006-12-01T12:00,7.2,85,16.1,99
2006-12-01T13:00,8.4,81,17.2,100
2006-12-01T14:00,9.2,79,17.7,100
2006-12-01T15:00,9.7,78,17.0,100
2006-12-01T16:00,10.1,77,16.0,100
2006-12-01T17:00,10.2,77,15.6,100
2006-12-01T18:00,9.7,78,15.5,99
2006-12-01T19:00,9.4,79,16.2,99
2006-12-01T20:00,9.4,79,16.6,100
2006-12-01T21:00,9.3,82,17.0,100
2006-12-01T22:00,9.4,82,17.0,100
2006-12-01T23:00,9.4,81,17.4,100
2006-12-02T00:00,9.4,81,17.1,100
2006-12-02T01:00,9.3,82,16.5,100
2006-12-02T02:00,9.2,84,15.7,100
2006-12-02T03:00,9.1,85,15.7,100
2006-12-02T04:00,9.1,86,15.4,100
2006-12-02T05:00,9.2,86,15.5,100
2006-12-02T06:00,9.0,86,15.7,100
2006-12-02T07:00,9.0,85,15.9,100
2006-12-02T08:00,9.0,85,15.9,100
2006-12-02T09:00,9.1,86,16.0,100
2006-12-02T10:00,9.1,85,16.8,99
2006-12-02T11:00,9.7,84,17.7,100
2006-12-02T12:00,10.4,83,16.1,100
2006-12-02T13:00,11.2,81,16.6,100
2006-12-02T14:00,11.6,81,19.3,100
2006-12-02T15:00,11.8,81,16.8,100
2006-12-02T16:00,11.8,81,14.5,100
2006-12-02T17:00,11.7,82,13.7,100
2006-12-02T18:00,11.2,83,14.5,100
2006-12-02T19:00,10.6,85,13.2,98
2006-12-02T20:00,9.7,89,10.4,67
2006-12-02T21:00,8.9,93,10.5,24
2006-12-02T22:00,8.2,94,10.8,11
2006-12-02T23:00,7.6,95,11.3,6
2006-12-03T00:00,7.2,96,9.7,5
2006-12-03T01:00,6.9,96,11.3,4
2006-12-03T02:00,6.5,96,12.5,1
2006-12-03T03:00,6.4,97,13.5,26
2006-12-03T04:00,6.5,96,14.5,61
2006-12-03T05:00,6.6,96,16.1,50
2006-12-03T06:00,6.8,95,19.4,100
